Ticker,Preço Hoje,Rendimento Dia,Rendimento Semana,Rendimento Mês,Rendimento Ano,Volume Médio 5 Dias,Média Móvel 7 Dias,Nome da Empresa
PETR4.SA,34.47999954223633,1.114372683634053,-0.4331548404629322,-6.380673831074484,16.08445333494813,23851740.0,34.401427677699495,Petrobras
VALE3.SA,55.029998779296875,2.362352115727247,0.27669302172622384,3.2089698852235538,-2.3428124594456987,20627600.0,54.24128232683454,Vale
ITUB4.SA,33.20000076293945,1.5290519520925365,1.8404979046077568,1.4900879259276534,3.9988662292065595,18510900.0,32.69285692487444,Itaú Unibanco
BBDC4.SA,11.630000114440918,1.5720550932247894,-0.5132546458176648,-2.9194446279833812,-10.833528252678645,31872640.0,11.534376689365931,Bradesco
BBAS3.SA,27.34000015258789,1.0720921393965162,-1.5444110650521747,-0.6950498671226157,4.385301005669229,14649240.0,27.45646068028041,Banco do Brasil
